d(g/cm2) R(GV)          p1          p2          p3          p4          p5          p6          p7          p8          p9          p*
 125.563  20.0   7.815E-02  -1.326E-02   8.136E-01   7.962E-02   1.921E-02   9.225E-01   6.500E-01   9.141E-02   8.136E-01   9.225E-01
 171.163   1.0   7.567E-02  -1.457E-02   7.329E-01   7.506E-02   3.278E-02   9.491E-01   1.000E+00   0.000E+00   7.329E-01   9.491E-01
 171.163   3.0   7.610E-02  -1.446E-02   7.430E-01   7.556E-02   3.008E-02   9.069E-01   1.000E+00   0.000E+00   7.430E-01   9.069E-01
 171.163   5.0   7.637E-02  -1.423E-02   7.458E-01   7.591E-02   2.814E-02   8.749E-01   1.000E+00   0.000E+00   7.458E-01   8.749E-01
 171.163   7.0   7.645E-02  -1.397E-02   7.533E-01   7.610E-02   2.682E-02   8.432E-01   1.000E+00   0.000E+00   7.533E-01   8.432E-01
 171.163  10.0   7.655E-02  -1.367E-02   7.608E-01   7.638E-02   2.540E-02   8.189E-01   1.000E+00   0.000E+00   7.608E-01   8.189E-01
 171.163  15.0   7.663E-02  -1.332E-02   7.774E-01   7.675E-02   2.373E-02   7.909E-01   1.000E+00   0.000E+00   7.774E-01   7.909E-01
 171.163  20.0   7.669E-02  -1.310E-02   7.877E-01   7.700E-02   2.253E-02   7.644E-01   1.000E+00   0.000E+00   7.877E-01   7.644E-01
 233.563   1.0   7.469E-02  -1.443E-02   7.009E-01   7.392E-02   4.168E-02   1.191E+00   1.000E+00   0.000E+00   7.009E-01   1.191E+00
 233.563   3.0   7.514E-02  -1.444E-02   7.027E-01   7.418E-02   3.924E-02   1.142E+00   1.000E+00   0.000E+00   7.027E-01   1.142E+00
 233.563   5.0   7.547E-02  -1.433E-02   7.027E-01   7.438E-02   3.737E-02   1.109E+00   1.000E+00   0.000E+00   7.027E-01   1.109E+00
 233.563   7.0   7.568E-02  -1.423E-02   7.015E-01   7.448E-02   3.610E-02   1.080E+00   1.000E+00   0.000E+00   7.015E-01   1.080E+00
 233.563  10.0   7.594E-02  -1.415E-02   7.004E-01   7.456E-02   3.485E-02   1.054E+00   1.000E+00   0.000E+00   7.004E-01   1.054E+00
 233.563  15.0   7.646E-02  -1.429E-02   6.840E-01   7.456E-02   3.356E-02   1.019E+00   1.000E+00   0.000E+00   6.840E-01   1.019E+00
 233.563  20.0   7.690E-02  -1.449E-02   6.681E-01   7.449E-02   3.270E-02   9.881E-01   1.000E+00   0.000E+00   6.681E-01   9.881E-01
 364.963   1.0   7.264E-02  -1.339E-02   7.205E-01   7.346E-02   5.410E-02   1.595E+00   1.000E+00   0.000E+00   7.205E-01   1.595E+00
 364.963   3.0   7.298E-02  -1.346E-02   7.206E-01   7.351E-02   5.209E-02   1.541E+00   1.000E+00   0.000E+00   7.206E-01   1.541E+00
 364.963   5.0   7.324E-02  -1.337E-02   7.242E-01   7.368E-02   5.020E-02   1.509E+00   1.000E+00   0.000E+00   7.242E-01   1.509E+00
 364.963   7.0   7.339E-02  -1.326E-02   7.307E-01   7.378E-02   4.886E-02   1.485E+00   1.000E+00   0.000E+00   7.307E-01   1.485E+00
 364.963  10.0   7.359E-02  -1.321E-02   7.364E-01   7.382E-02   4.753E-02   1.455E+00   1.000E+00   0.000E+00   7.364E-01   1.455E+00
 364.963  15.0   7.379E-02  -1.310E-02   7.408E-01   7.378E-02   4.618E-02   1.415E+00   1.000E+00   0.000E+00   7.408E-01   1.415E+00
 364.963  20.0   7.369E-02  -1.280E-02   7.690E-01   7.370E-02   4.526E-02   1.381E+00   1.000E+00   0.000E+00   7.690E-01   1.381E+00
 483.563   1.0   7.234E-02  -1.357E-02   6.678E-01   7.335E-02   6.183E-02   1.858E+00   1.000E+00   0.000E+00   6.678E-01   1.858E+00
 483.563   3.0   7.256E-02  -1.360E-02   6.704E-01   7.347E-02   6.005E-02   1.820E+00   1.000E+00   0.000E+00   6.704E-01   1.820E+00
 483.563   5.0   7.290E-02  -1.368E-02   6.690E-01   7.362E-02   5.815E-02   1.787E+00   1.000E+00   0.000E+00   6.690E-01   1.787E+00
 483.563   7.0   7.319E-02  -1.376E-02   6.641E-01   7.364E-02   5.686E-02   1.757E+00   1.000E+00   0.000E+00   6.641E-01   1.757E+00
 483.563  10.0   7.363E-02  -1.397E-02   6.529E-01   7.370E-02   5.545E-02   1.730E+00   1.000E+00   0.000E+00   6.529E-01   1.730E+00
 483.563  15.0   7.435E-02  -1.441E-02   6.247E-01   7.358E-02   5.405E-02   1.684E+00   1.000E+00   0.000E+00   6.247E-01   1.684E+00
 483.563  20.0   7.493E-02  -1.484E-02   6.060E-01   7.337E-02   5.322E-02   1.644E+00   1.000E+00   0.000E+00   6.060E-01   1.644E+00
 631.563   1.0   7.099E-02  -1.242E-02   6.527E-01   7.393E-02   6.901E-02   2.168E+00   1.000E+00   0.000E+00   6.527E-01   2.168E+00
 631.563   3.0   7.115E-02  -1.245E-02   6.511E-01   7.401E-02   6.763E-02   2.135E+00   1.000E+00   0.000E+00   6.511E-01   2.135E+00
